ID,FX,FY,FZ
174,0,4.00E+100,0
175,0,4.00E+100,0
176,0,4.00E+100,0
177,0,4.00E+100,0
178,0,4.00E+100,0
179,0,4.00E+100,0
180,0,4.00E+100,0
181,0,4.00E+100,0
201,0,4.00E+100,0
202,0,4.00E+100,0
203,0,4.00E+100,0
204,0,4.00E+100,0
205,0,4.00E+100,0
206,0,4.00E+100,0
207,0,4.00E+100,0
208,0,4.00E+100,0
209,0,4.00E+100,0
230,0,4.00E+100,0
231,0,4.00E+100,0
232,0,4.00E+100,0
233,0,4.00E+100,0
234,0,4.00E+100,0
235,0,4.00E+100,0
236,0,4.00E+100,0
237,0,4.00E+100,0
238,0,4.00E+100,0
239,0,4.00E+100,0
258,0,4.00E+100,0
259,0,4.00E+100,0
260,0,4.00E+100,0
261,0,4.00E+100,0
262,0,4.00E+100,0
263,0,4.00E+100,0
264,0,4.00E+100,0
265,0,4.00E+100,0
266,0,4.00E+100,0
267,0,4.00E+100,0
268,0,4.00E+100,0
287,0,4.00E+100,0
288,0,4.00E+100,0
289,0,4.00E+100,0
290,0,4.00E+100,0
291,0,4.00E+100,0
292,0,4.00E+100,0
293,0,4.00E+100,0
294,0,4.00E+100,0
295,0,4.00E+100,0
296,0,4.00E+100,0
297,0,4.00E+100,0
298,0,4.00E+100,0
317,0,4.00E+100,0
318,0,4.00E+100,0
319,0,4.00E+100,0
320,0,4.00E+100,0
321,0,4.00E+100,0
322,0,4.00E+100,0
323,0,4.00E+100,0
324,0,4.00E+100,0
325,0,4.00E+100,0
326,0,4.00E+100,0
327,0,4.00E+100,0
328,0,4.00E+100,0
329,0,4.00E+100,0
347,0,4.00E+100,0
348,0,4.00E+100,0
349,0,4.00E+100,0
350,0,4.00E+100,0
351,0,4.00E+100,0
352,0,4.00E+100,0
353,0,4.00E+100,0
354,0,4.00E+100,0
355,0,4.00E+100,0
356,0,4.00E+100,0
357,0,4.00E+100,0
358,0,4.00E+100,0
359,0,4.00E+100,0
377,0,4.00E+100,0
378,0,4.00E+100,0
379,0,4.00E+100,0
380,0,4.00E+100,0
381,0,4.00E+100,0
382,0,4.00E+100,0
383,0,4.00E+100,0
384,0,4.00E+100,0
385,0,4.00E+100,0
386,0,4.00E+100,0
387,0,4.00E+100,0
388,0,4.00E+100,0
389,0,4.00E+100,0
390,0,4.00E+100,0
407,0,4.00E+100,0
408,0,4.00E+100,0
409,0,4.00E+100,0
410,0,4.00E+100,0
411,0,4.00E+100,0
412,0,4.00E+100,0
413,0,4.00E+100,0
414,0,4.00E+100,0
415,0,4.00E+100,0
416,0,4.00E+100,0
417,0,4.00E+100,0
418,0,4.00E+100,0
419,0,4.00E+100,0
420,0,4.00E+100,0
556,4.00E+100,-4.00E+100,0
557,4.00E+100,-4.00E+100,0
558,4.00E+100,-4.00E+100,0
587,4.00E+100,-4.00E+100,0
588,4.00E+100,-4.00E+100,0
589,4.00E+100,-4.00E+100,0
590,4.00E+100,-4.00E+100,0
619,4.00E+100,-4.00E+100,0
620,4.00E+100,-4.00E+100,0
621,4.00E+100,-4.00E+100,0
622,4.00E+100,-4.00E+100,0
623,4.00E+100,-4.00E+100,0
651,4.00E+100,-4.00E+100,0
652,4.00E+100,-4.00E+100,0
653,4.00E+100,-4.00E+100,0
654,4.00E+100,-4.00E+100,0
655,4.00E+100,-4.00E+100,0
656,4.00E+100,-4.00E+100,0
657,4.00E+100,-4.00E+100,0
685,4.00E+100,-4.00E+100,0
686,4.00E+100,-4.00E+100,0
687,4.00E+100,-4.00E+100,0
688,4.00E+100,-4.00E+100,0
689,4.00E+100,-4.00E+100,0
690,4.00E+100,-4.00E+100,0
691,4.00E+100,-4.00E+100,0
692,4.00E+100,-4.00E+100,0
693,4.00E+100,-4.00E+100,0
720,4.00E+100,-4.00E+100,0
721,4.00E+100,-4.00E+100,0
722,4.00E+100,-4.00E+100,0
723,4.00E+100,-4.00E+100,0
724,4.00E+100,-4.00E+100,0
725,4.00E+100,-4.00E+100,0
726,4.00E+100,-4.00E+100,0
727,4.00E+100,-4.00E+100,0
728,4.00E+100,-4.00E+100,0
729,4.00E+100,-4.00E+100,0
730,4.00E+100,-4.00E+100,0
756,4.00E+100,-4.00E+100,0
757,4.00E+100,-4.00E+100,0
758,4.00E+100,-4.00E+100,0
759,4.00E+100,-4.00E+100,0
760,4.00E+100,-4.00E+100,0
761,4.00E+100,-4.00E+100,0
762,4.00E+100,-4.00E+100,0
763,4.00E+100,-4.00E+100,0
764,4.00E+100,-4.00E+100,0
765,4.00E+100,-4.00E+100,0
766,4.00E+100,-4.00E+100,0
767,4.00E+100,-4.00E+100,0
793,4.00E+100,-4.00E+100,0
794,4.00E+100,-4.00E+100,0
795,4.00E+100,-4.00E+100,0
796,4.00E+100,-4.00E+100,0
797,4.00E+100,-4.00E+100,0
798,4.00E+100,-4.00E+100,0
799,4.00E+100,-4.00E+100,0
800,4.00E+100,-4.00E+100,0
801,4.00E+100,-4.00E+100,0
802,4.00E+100,-4.00E+100,0
803,4.00E+100,-4.00E+100,0
804,4.00E+100,-4.00E+100,0
805,4.00E+100,-4.00E+100,0
806,4.00E+100,-4.00E+100,0
831,4.00E+100,-4.00E+100,0
832,4.00E+100,-4.00E+100,0
833,4.00E+100,-4.00E+100,0
834,4.00E+100,-4.00E+100,0
835,4.00E+100,-4.00E+100,0
836,4.00E+100,-4.00E+100,0
837,4.00E+100,-4.00E+100,0
838,4.00E+100,-4.00E+100,0
839,4.00E+100,-4.00E+100,0
840,4.00E+100,-4.00E+100,0
841,4.00E+100,-4.00E+100,0
842,4.00E+100,-4.00E+100,0
843,4.00E+100,-4.00E+100,0
844,4.00E+100,-4.00E+100,0
845,4.00E+100,-4.00E+100,0
