ID, R, G, B
175,0.933333,0.933333,0.941176
176,0.356863,0.360784,0.423529
177,0.203922,0.207843,0.286275
178,0.235294,0.247059,0.305882
179,0.890196,0.898039,0.933333
180,1,1,1
181,1,1,1
182,1,1,1
183,0.341176,0.341176,0.392157
184,0.160784,0.152941,0.203922
185,0.14902,0.141176,0.192157
186,0.133333,0.12549,0.184314
187,0.14902,0.137255,0.207843
188,0.164706,0.156863,0.196078
189,0.145098,0.145098,0.184314
190,0.164706,0.109804,0.152941
191,0.356863,0.219608,0.247059
192,0.776471,0.556863,0.584314
193,0.541176,0.337255,0.333333
194,0.384314,0.258824,0.262745
195,0.172549,0.152941,0.207843
196,0.294118,0.227451,0.266667
197,0.305882,0.258824,0.290196
198,0.717647,0.709804,0.717647
199,0.298039,0.294118,0.313726
200,0.996078,0.996078,0.996078
201,0.996078,0.996078,0.996078
202,0.239216,0.243137,0.309804
203,0.196078,0.2,0.270588
204,0.196078,0.2,0.270588
205,0.196078,0.2,0.270588
206,0.192157,0.203922,0.262745
207,0.741176,0.756863,0.807843
208,0.909804,0.92549,0.968627
209,0.380392,0.396078,0.431373
210,0.572549,0.580392,0.615686
211,1,1,1
212,1,1,1
213,0.176471,0.188235,0.247059
214,0.14902,0.160784,0.219608
215,0.14902,0.156863,0.215686
216,0.141176,0.137255,0.2
217,0.117647,0.105882,0.172549
218,0.101961,0.0980392,0.156863
219,0.109804,0.105882,0.164706
220,0.223529,0.152941,0.2
221,0.439216,0.282353,0.317647
222,0.772549,0.556863,0.556863
223,0.603922,0.407843,0.403922
224,0.470588,0.329412,0.345098
225,0.262745,0.188235,0.231373
226,0.509804,0.431373,0.443137
227,0.419608,0.301961,0.352941
228,0.905882,0.913725,0.913725
229,0.996078,0.996078,0.996078
230,0.917647,0.917647,0.92549
231,0.2,0.207843,0.266667
232,0.180392,0.184314,0.254902
233,0.176471,0.180392,0.25098
234,0.172549,0.176471,0.247059
235,0.160784,0.164706,0.235294
236,0.156863,0.168627,0.227451
237,0.537255,0.552941,0.603922
238,0.901961,0.917647,0.960784
239,0.572549,0.588235,0.623529
240,0.14902,0.160784,0.219608
241,0.168627,0.180392,0.239216
242,0.203922,0.215686,0.27451
243,0.14902,0.160784,0.219608
244,0.0980392,0.0941176,0.156863
245,0.129412,0.117647,0.184314
246,0.156863,0.141176,0.207843
247,0.168627,0.141176,0.211765
248,0.109804,0.105882,0.172549
249,0.113725,0.101961,0.156863
250,0.337255,0.247059,0.27451
251,0.443137,0.25098,0.243137
252,0.780392,0.545098,0.552941
253,0.713726,0.490196,0.486275
254,0.564706,0.392157,0.403922
255,0.380392,0.258824,0.301961
256,0.635294,0.501961,0.494118
257,0.741176,0.686275,0.705882
258,0.890196,0.890196,0.898039
259,0.188235,0.196078,0.254902
260,0.172549,0.180392,0.239216
261,0.156863,0.180392,0.243137
262,0.156863,0.180392,0.243137
263,0.141176,0.164706,0.227451
264,0.141176,0.164706,0.227451
265,0.145098,0.156863,0.215686
266,0.305882,0.321569,0.372549
267,0.894118,0.909804,0.952941
268,0.792157,0.807843,0.843137
269,0.145098,0.156863,0.215686
270,0.152941,0.164706,0.223529
271,0.14902,0.160784,0.219608
272,0.133333,0.145098,0.203922
273,0.145098,0.141176,0.203922
274,0.0745098,0.0627451,0.129412
275,0.101961,0.0862745,0.152941
276,0.105882,0.0784314,0.14902
277,0.121569,0.117647,0.188235
278,0.101961,0.0941176,0.141176
279,0.270588,0.188235,0.196078
