ID, R, G, B
842,0.133333,0.129412,0.2
843,0.137255,0.133333,0.203922
844,0.152941,0.14902,0.219608
845,1,1,1
846,0.745098,0.745098,0.768627
847,0.129412,0.121569,0.180392
848,0.105882,0.0980392,0.152941
849,0.105882,0.0980392,0.14902
850,0.0941176,0.0862745,0.137255
851,0.0823529,0.0745098,0.12549
852,0.0588235,0.0509804,0.101961
853,0.137255,0.137255,0.176471
854,0.133333,0.133333,0.180392
855,0.133333,0.129412,0.188235
856,0.12549,0.121569,0.184314
857,0.12549,0.121569,0.184314
858,0.12549,0.121569,0.184314
859,0.121569,0.117647,0.180392
860,0.113725,0.109804,0.172549
861,0.121569,0.117647,0.172549
862,0.121569,0.117647,0.172549
863,0.117647,0.113725,0.168627
864,0.117647,0.113725,0.168627
865,0.12549,0.109804,0.180392
866,0.576471,0.47451,0.447059
867,0.698039,0.454902,0.427451
868,0.666667,0.47451,0.466667
869,0.333333,0.32549,0.368627
870,0.0980392,0.0901961,0.133333
871,0.105882,0.0980392,0.141176
872,0.105882,0.0980392,0.141176
873,0.0980392,0.0941176,0.14902
874,0.113725,0.109804,0.164706
875,0.105882,0.101961,0.156863
876,0.0705882,0.0666667,0.121569
877,0.0980392,0.0941176,0.14902
878,0.152941,0.14902,0.203922
879,0.156863,0.152941,0.207843
880,0.121569,0.117647,0.172549
881,0.117647,0.121569,0.203922
882,0.145098,0.14902,0.231373
883,0.145098,0.14902,0.231373
884,0.933333,0.933333,0.952941
885,0.317647,0.317647,0.372549
886,0.129412,0.121569,0.180392
887,0.105882,0.0980392,0.152941
888,0.105882,0.0980392,0.14902
889,0.0941176,0.0862745,0.137255
890,0.0745098,0.0666667,0.117647
891,0.0666667,0.0588235,0.109804
892,0.137255,0.137255,0.176471
893,0.133333,0.133333,0.180392
894,0.133333,0.129412,0.188235
895,0.12549,0.121569,0.184314
896,0.12549,0.121569,0.184314
897,0.12549,0.121569,0.184314
898,0.121569,0.117647,0.180392
899,0.113725,0.109804,0.172549
900,0.117647,0.113725,0.168627
901,0.117647,0.113725,0.168627
902,0.113725,0.109804,0.164706
903,0.113725,0.109804,0.164706
904,0.129412,0.117647,0.188235
905,0.509804,0.435294,0.419608
906,0.643137,0.447059,0.431373
907,0.537255,0.392157,0.388235
908,0.0980392,0.0901961,0.141176
909,0.109804,0.101961,0.152941
910,0.113725,0.105882,0.156863
911,0.113725,0.105882,0.156863
912,0.105882,0.101961,0.156863
913,0.109804,0.105882,0.160784
914,0.109804,0.105882,0.160784
915,0.0745098,0.0705882,0.12549
916,0.0784314,0.0745098,0.129412
917,0.129412,0.12549,0.180392
918,0.160784,0.156863,0.211765
919,0.160784,0.156863,0.211765
920,0.117647,0.121569,0.2
921,0.141176,0.145098,0.223529
922,0.14902,0.152941,0.231373
923,0.607843,0.611765,0.65098
924,0.403922,0.403922,0.45098
925,0.121569,0.113725,0.172549
926,0.109804,0.101961,0.156863
927,0.101961,0.0941176,0.145098
928,0.0901961,0.0823529,0.133333
929,0.0823529,0.0745098,0.12549
930,0.0588235,0.0509804,0.101961
931,0.137255,0.137255,0.176471
932,0.133333,0.133333,0.180392
933,0.133333,0.129412,0.188235
934,0.129412,0.12549,0.188235
935,0.129412,0.12549,0.188235
936,0.121569,0.117647,0.180392
937,0.121569,0.117647,0.180392
938,0.109804,0.105882,0.168627
939,0.109804,0.105882,0.160784
940,0.109804,0.105882,0.160784
941,0.109804,0.105882,0.160784
942,0.113725,0.109804,0.164706
943,0.137255,0.117647,0.184314
944,0.776471,0.74902,0.760784
945,0.635294,0.52549,0.521569
946,0.156863,0.109804,0.0941176
947,0.109804,0.101961,0.156863
948,0.109804,0.101961,0.156863
949,0.105882,0.0980392,0.152941
950,0.113725,0.105882,0.160784
951,0.101961,0.0980392,0.152941
952,0.0980392,0.0941176,0.14902
953,0.0980392,0.0941176,0.14902
954,0.0823529,0.0784314,0.133333
955,0.0745098,0.0705882,0.12549
956,0.101961,0.0980392,0.152941
957,0.141176,0.137255,0.192157
958,0.164706,0.160784,0.215686
959,0.14902,0.152941,0.223529
960,0.129412,0.133333,0.203922
961,0.156863,0.160784,0.231373
962,0.372549,0.376471,0.435294
963,0.764706,0.764706,0.784314
964,0.121569,0.117647,0.176471
965,0.121569,0.113725,0.168627
966,0.105882,0.0980392,0.14902
967,0.0941176,0.0862745,0.137255
968,0.0784314,0.0705882,0.121569
969,0.0627451,0.054902,0.105882
970,0.137255,0.137255,0.176471
971,0.133333,0.133333,0.180392
972,0.133333,0.129412,0.188235
973,0.129412,0.12549,0.188235
974,0.121569,0.117647,0.180392
975,0.117647,0.113725,0.176471
976,0.113725,0.109804,0.172549
977,0.113725,0.109804,0.172549
978,0.105882,0.101961,0.156863
979,0.105882,0.101961,0.156863
980,0.101961,0.0980392,0.152941
981,0.105882,0.101961,0.156863
982,0.113725,0.0901961,0.156863
983,0.807843,0.827451,0.843137
984,0.843137,0.807843,0.823529
985,0.0862745,0.109804,0.101961
986,0.109804,0.0980392,0.164706
987,0.109804,0.0980392,0.164706
988,0.105882,0.0941176,0.160784
989,0.113725,0.101961,0.168627
990,0.101961,0.0980392,0.152941
991,0.0980392,0.0941176,0.14902
992,0.0980392,0.0941176,0.14902
993,0.0823529,0.0784314,0.133333
994,0.0666667,0.0627451,0.117647
995,0.0941176,0.0901961,0.145098
996,0.121569,0.117647,0.172549
997,0.133333,0.129412,0.184314
998,0.156863,0.164706,0.223529
999,0.133333,0.141176,0.2
1000,0.152941,0.160784,0.219608
1001,0.141176,0.14902,0.207843
1002,1,1,1
1003,1,1,1
1004,0.129412,0.12549,0.192157
1005,0.101961,0.0980392,0.156863
1006,0.0941176,0.0862745,0.137255
1007,0.0784314,0.0705882,0.121569
1008,0.0666667,0.0588235,0.109804
1009,0.0745098,0.0666667,0.117647
1010,0.12549,0.121569,0.184314
1011,0.12549,0.121569,0.184314
1012,0.129412,0.12549,0.188235
1013,0.133333,0.129412,0.192157
1014,0.121569,0.117647,0.172549
1015,0.113725,0.109804,0.164706
1016,0.117647,0.113725,0.168627
1017,0.117647,0.113725,0.168627
1018,0.105882,0.101961,0.164706
1019,0.0980392,0.0941176,0.156863
1020,0.0980392,0.0941176,0.156863
1021,0.105882,0.101961,0.164706
1022,0.0941176,0.0901961,0.156863
1023,0.807843,0.807843,0.854902
1024,0.819608,0.823529,0.847059
1025,0.121569,0.129412,0.129412
1026,0.113725,0.109804,0.164706
1027,0.101961,0.0980392,0.152941
1028,0.0980392,0.0941176,0.14902
1029,0.105882,0.101961,0.156863
1030,0.109804,0.105882,0.160784
1031,0.0901961,0.0862745,0.141176
1032,0.0980392,0.0941176,0.14902
1033,0.0823529,0.0784314,0.133333
1034,0.0705882,0.0627451,0.113725
1035,0.0941176,0.0862745,0.137255
1036,0.0941176,0.0862745,0.137255
1037,0.109804,0.101961,0.152941
1038,0.12549,0.12549,0.164706
1039,0.133333,0.133333,0.180392
1040,0.12549,0.121569,0.180392
1041,0.129412,0.12549,0.188235
1042,1,1,1
1043,1,1,1
1044,0.101961,0.0980392,0.164706
1045,0.0784314,0.0745098,0.133333
1046,0.0823529,0.0745098,0.12549
1047,0.0784314,0.0705882,0.121569
1048,0.0784314,0.0705882,0.121569
1049,0.0862745,0.0784314,0.129412
1050,0.133333,0.129412,0.192157
1051,0.133333,0.129412,0.192157
1052,0.133333,0.129412,0.192157
1053,0.133333,0.129412,0.192157
1054,0.121569,0.117647,0.172549
1055,0.113725,0.109804,0.164706
1056,0.113725,0.109804,0.164706
1057,0.113725,0.109804,0.164706
1058,0.105882,0.101961,0.164706
1059,0.0980392,0.0941176,0.156863
1060,0.0980392,0.0941176,0.156863
1061,0.105882,0.101961,0.164706
1062,0.0980392,0.0941176,0.152941
1063,0.796078,0.796078,0.839216
1064,0.815686,0.815686,0.843137
1065,0.117647,0.121569,0.133333
1066,0.117647,0.113725,0.168627
1067,0.105882,0.101961,0.156863
1068,0.0980392,0.0941176,0.14902
1069,0.0941176,0.0901961,0.145098
1070,0.101961,0.0980392,0.152941
1071,0.0941176,0.0901961,0.145098
1072,0.0941176,0.0901961,0.145098
1073,0.0901961,0.0862745,0.141176
1074,0.0705882,0.0627451,0.113725
1075,0.0941176,0.0862745,0.137255
1076,0.101961,0.0941176,0.145098
1077,0.0862745,0.0784314,0.129412
1078,0.0980392,0.0980392,0.137255
1079,0.12549,0.12549,0.172549
1080,0.145098,0.141176,0.2
1081,0.141176,0.137255,0.2
1082,0.984314,0.984314,0.984314
1083,0.541176,0.537255,0.572549
1084,0.0784314,0.0745098,0.133333
1085,0.0941176,0.0862745,0.137255
1086,0.0901961,0.0823529,0.133333
1087,0.0901961,0.0823529,0.133333
1088,0.109804,0.101961,0.152941
1089,0.129412,0.12549,0.188235
1090,0.137255,0.133333,0.196078
1091,0.133333,0.129412,0.192157
1092,0.129412,0.12549,0.188235
1093,0.121569,0.117647,0.172549
1094,0.113725,0.109804,0.164706
1095,0.109804,0.105882,0.160784
1096,0.109804,0.105882,0.160784
1097,0.105882,0.101961,0.164706
1098,0.105882,0.101961,0.164706
1099,0.0941176,0.0901961,0.152941
1100,0.0941176,0.0901961,0.152941
1101,0.0901961,0.0901961,0.133333
1102,0.807843,0.807843,0.847059
1103,0.811765,0.811765,0.843137
1104,0.0941176,0.0980392,0.121569
1105,0.12549,0.121569,0.176471
1106,0.121569,0.117647,0.172549
1107,0.105882,0.101961,0.156863
1108,0.101961,0.0980392,0.152941
1109,0.101961,0.0980392,0.152941
1110,0.101961,0.0980392,0.152941
1111,0.0901961,0.0862745,0.141176
1112,0.0901961,0.0862745,0.141176
1113,0.0705882,0.0627451,0.113725
1114,0.0901961,0.0823529,0.133333
1115,0.0941176,0.0862745,0.137255
1116,0.0784314,0.0705882,0.121569
1117,0.0901961,0.0901961,0.129412
1118,0.0980392,0.0980392,0.145098
1119,0.152941,0.14902,0.207843
1120,0.184314,0.180392,0.243137
1121,0.603922,0.611765,0.635294
1122,1,1,1
1123,0.0941176,0.0901961,0.14902
1124,0.101961,0.0941176,0.145098
1125,0.0941176,0.0862745,0.137255
1126,0.0901961,0.0823529,0.133333
1127,0.121569,0.113725,0.164706
1128,0.133333,0.129412,0.192157
1129,0.133333,0.129412,0.192157
1130,0.133333,0.129412,0.192157
1131,0.129412,0.12549,0.188235
1132,0.121569,0.117647,0.172549
1133,0.113725,0.109804,0.164706
1134,0.105882,0.101961,0.156863
1135,0.105882,0.101961,0.156863
1136,0.0980392,0.0941176,0.156863
1137,0.105882,0.101961,0.164706
1138,0.105882,0.101961,0.164706
1139,0.0941176,0.0901961,0.152941
1140,0.0901961,0.0901961,0.121569
1141,0.807843,0.807843,0.839216
1142,0.796078,0.796078,0.835294
1143,0.0980392,0.0980392,0.137255
1144,0.0980392,0.0941176,0.14902
1145,0.12549,0.121569,0.176471
1146,0.121569,0.117647,0.172549
1147,0.105882,0.101961,0.156863
1148,0.101961,0.0980392,0.152941
1149,0.101961,0.0980392,0.152941
1150,0.0901961,0.0862745,0.141176
1151,0.0901961,0.0862745,0.141176
1152,0.0705882,0.0627451,0.113725
1153,0.0784314,0.0705882,0.121569
1154,0.0901961,0.0823529,0.133333
1155,0.0705882,0.0627451,0.113725
1156,0.0705882,0.0705882,0.109804
1157,0.0823529,0.0823529,0.129412
1158,0.101961,0.0980392,0.156863
1159,0.12549,0.121569,0.184314
1160,0.235294,0.25098,0.290196
1161,1,1,1
1162,1,1,1
1163,0.341176,0.337255,0.403922
1164,0.0941176,0.0862745,0.133333
1165,0.0862745,0.0823529,0.109804
1166,0.0862745,0.0823529,0.109804
1167,0.133333,0.121569,0.188235
1168,0.141176,0.129412,0.196078
1169,0.133333,0.121569,0.188235
1170,0.137255,0.12549,0.192157
1171,0.133333,0.121569,0.188235
1172,0.117647,0.113725,0.168627
1173,0.109804,0.105882,0.160784
1174,0.101961,0.0980392,0.152941
1175,0.101961,0.0980392,0.152941
1176,0.0980392,0.0941176,0.14902
1177,0.0980392,0.0941176,0.14902
1178,0.113725,0.109804,0.164706
1179,0.105882,0.101961,0.156863
1180,0.0823529,0.0823529,0.121569
1181,0.807843,0.807843,0.847059
1182,0.803922,0.803922,0.843137
1183,0.0980392,0.0980392,0.137255
1184,0.0901961,0.0823529,0.137255
1185,0.109804,0.101961,0.156863
1186,0.12549,0.117647,0.172549
1187,0.121569,0.113725,0.168627
1188,0.117647,0.109804,0.164706
1189,0.109804,0.101961,0.156863
1190,0.0941176,0.0862745,0.141176
1191,0.0941176,0.0862745,0.141176
1192,0.0862745,0.0784314,0.129412
1193,0.0745098,0.0666667,0.117647
1194,0.0823529,0.0745098,0.12549
1195,0.0745098,0.0666667,0.117647
1196,0.0784314,0.0705882,0.121569
1197,0.0784314,0.0705882,0.121569
1198,0.0823529,0.0745098,0.12549
1199,0.0980392,0.0901961,0.141176
1200,0.160784,0.172549,0.227451
1201,1,1,1
1202,0.996078,0.996078,1
1203,0.0901961,0.0784314,0.141176
1204,0.0941176,0.0901961,0.12549
1205,0.0980392,0.0941176,0.12549
1206,0.145098,0.133333,0.2
1207,0.141176,0.129412,0.196078
1208,0.133333,0.121569,0.188235
1209,0.137255,0.12549,0.192157
1210,0.133333,0.121569,0.188235
1211,0.117647,0.113725,0.168627
1212,0.109804,0.105882,0.160784
1213,0.105882,0.101961,0.156863
1214,0.105882,0.101961,0.156863
1215,0.0941176,0.0901961,0.145098
1216,0.0941176,0.0901961,0.145098
1217,0.0901961,0.0862745,0.141176
1218,0.113725,0.109804,0.164706
1219,0.0823529,0.0823529,0.121569
1220,0.807843,0.807843,0.847059
1221,0.803922,0.803922,0.843137
1222,0.101961,0.101961,0.141176
1223,0.101961,0.0941176,0.14902
1224,0.0901961,0.0823529,0.137255
1225,0.109804,0.101961,0.156863
1226,0.137255,0.129412,0.184314
1227,0.117647,0.109804,0.164706
1228,0.105882,0.0980392,0.152941
1229,0.0901961,0.0823529,0.137255
1230,0.0901961,0.0823529,0.137255
1231,0.0980392,0.0901961,0.141176
1232,0.0705882,0.0627451,0.113725
1233,0.0784314,0.0705882,0.121569
1234,0.0823529,0.0745098,0.12549
1235,0.0745098,0.0666667,0.117647
1236,0.0823529,0.0745098,0.12549
1237,0.0941176,0.0862745,0.137255
1238,0.0862745,0.0784314,0.129412
1239,0.0784314,0.0941176,0.145098
1240,1,1,1
1241,1,1,1
1242,0.278431,0.266667,0.341176
1243,0.0823529,0.0745098,0.129412
1244,0.0784314,0.0705882,0.113725
1245,0.145098,0.137255,0.192157
1246,0.137255,0.12549,0.192157
1247,0.141176,0.129412,0.196078
1248,0.137255,0.12549,0.192157
1249,0.129412,0.117647,0.184314
1250,0.117647,0.113725,0.168627
1251,0.105882,0.101961,0.156863
1252,0.101961,0.0980392,0.152941
1253,0.0941176,0.0901961,0.145098
1254,0.0901961,0.0862745,0.141176
1255,0.0901961,0.0862745,0.141176
1256,0.0901961,0.0862745,0.141176
1257,0.109804,0.105882,0.160784
1258,0.0980392,0.0980392,0.137255
1259,0.796078,0.796078,0.835294
1260,0.784314,0.784314,0.823529
1261,0.105882,0.105882,0.145098
1262,0.101961,0.0941176,0.14902
1263,0.0941176,0.0862745,0.141176
1264,0.0901961,0.0823529,0.137255
1265,0.121569,0.113725,0.168627
1266,0.145098,0.137255,0.192157
1267,0.117647,0.109804,0.164706
1268,0.0901961,0.0823529,0.137255
1269,0.0823529,0.0745098,0.129412
1270,0.0862745,0.0784314,0.129412
1271,0.0901961,0.0823529,0.133333
1272,0.0784314,0.0705882,0.121569
1273,0.0823529,0.0745098,0.12549
1274,0.0784314,0.0705882,0.121569
1275,0.0784314,0.0705882,0.121569
1276,0.0823529,0.0745098,0.12549
1277,0.0980392,0.0901961,0.141176
1278,0.0901961,0.105882,0.156863
1279,0.713726,0.717647,0.737255
1280,0.996078,0.996078,0.996078
1281,0.0901961,0.0784314,0.141176
1282,0.0784314,0.0705882,0.113725
1283,0.145098,0.137255,0.188235
1284,0.141176,0.129412,0.196078
1285,0.141176,0.129412,0.196078
1286,0.137255,0.12549,0.192157
1287,0.133333,0.121569,0.188235
1288,0.121569,0.117647,0.172549
1289,0.109804,0.105882,0.160784
1290,0.101961,0.0980392,0.152941
1291,0.0941176,0.0901961,0.145098
1292,0.0901961,0.0862745,0.141176
1293,0.0901961,0.0862745,0.141176
1294,0.0862745,0.0823529,0.137255
1295,0.101961,0.0980392,0.152941
1296,0.0980392,0.0980392,0.137255
1297,0.796078,0.796078,0.835294
1298,0.784314,0.784314,0.823529
1299,0.105882,0.105882,0.145098
1300,0.101961,0.0941176,0.14902
1301,0.0941176,0.0862745,0.141176
1302,0.0901961,0.0823529,0.137255
1303,0.0862745,0.0784314,0.133333
1304,0.129412,0.121569,0.176471
1305,0.141176,0.133333,0.188235
1306,0.109804,0.101961,0.156863
1307,0.0823529,0.0745098,0.129412
1308,0.0666667,0.0588235,0.109804
1309,0.0862745,0.0784314,0.129412
1310,0.101961,0.0941176,0.145098
1311,0.0941176,0.0862745,0.137255
1312,0.0862745,0.0784314,0.129412
1313,0.0862745,0.0784314,0.129412
1314,0.0862745,0.0784314,0.129412
1315,0.0823529,0.0745098,0.12549
1316,0.0862745,0.101961,0.152941
1317,0.768627,0.772549,0.788235
1318,1,1,1
1319,0.231373,0.223529,0.294118
1320,0.0627451,0.0588235,0.12549
1321,0.14902,0.145098,0.203922
1322,0.141176,0.133333,0.188235
1323,0.137255,0.129412,0.184314
1324,0.137255,0.129412,0.184314
1325,0.129412,0.121569,0.176471
1326,0.129412,0.121569,0.176471
1327,0.121569,0.113725,0.168627
1328,0.109804,0.101961,0.156863
1329,0.0980392,0.0901961,0.145098
1330,0.0941176,0.0862745,0.141176
1331,0.0941176,0.0862745,0.141176
1332,0.0941176,0.0862745,0.129412
1333,0.101961,0.0980392,0.129412
1334,0.113725,0.109804,0.133333
1335,0.807843,0.803922,0.827451
1336,0.792157,0.788235,0.811765
1337,0.113725,0.109804,0.133333
1338,0.0980392,0.0941176,0.14902
1339,0.0901961,0.0862745,0.141176
1340,0.0862745,0.0823529,0.137255
1341,0.0784314,0.0745098,0.129412
1342,0.0980392,0.0901961,0.145098
1343,0.129412,0.121569,0.176471
1344,0.141176,0.133333,0.188235
1345,0.0901961,0.0823529,0.137255
1346,0.0745098,0.0705882,0.12549
1347,0.0705882,0.0666667,0.121569
1348,0.0784314,0.0745098,0.129412
1349,0.0862745,0.0823529,0.137255
1350,0.0823529,0.0745098,0.12549
1351,0.0901961,0.0823529,0.133333
1352,0.0941176,0.0862745,0.137255
1353,0.113725,0.105882,0.156863
1354,0.0705882,0.0941176,0.145098
1355,1,1,1
1356,0.976471,0.976471,0.980392
1357,0.0705882,0.0666667,0.133333
1358,0.156863,0.152941,0.211765
1359,0.145098,0.137255,0.192157
1360,0.137255,0.129412,0.184314
1361,0.137255,0.129412,0.184314
1362,0.129412,0.121569,0.176471
1363,0.129412,0.121569,0.176471
1364,0.121569,0.113725,0.168627
1365,0.113725,0.105882,0.160784
1366,0.101961,0.0941176,0.14902
1367,0.0941176,0.0862745,0.141176
1368,0.0941176,0.0862745,0.141176
1369,0.0901961,0.0823529,0.12549
1370,0.0941176,0.0901961,0.121569
1371,0.101961,0.0980392,0.121569
1372,0.807843,0.803922,0.827451
1373,0.792157,0.788235,0.811765
1374,0.113725,0.109804,0.133333
1375,0.101961,0.0980392,0.152941
1376,0.0980392,0.0941176,0.14902
1377,0.0862745,0.0823529,0.137255
1378,0.0784314,0.0745098,0.129412
1379,0.0901961,0.0823529,0.137255
1380,0.0901961,0.0823529,0.137255
1381,0.12549,0.117647,0.172549
1382,0.14902,0.141176,0.196078
1383,0.101961,0.0980392,0.152941
1384,0.0823529,0.0784314,0.133333
1385,0.0745098,0.0705882,0.12549
1386,0.0784314,0.0745098,0.129412
1387,0.0823529,0.0745098,0.12549
1388,0.0901961,0.0823529,0.133333
1389,0.0862745,0.0784314,0.129412
1390,0.117647,0.109804,0.160784
1391,0.890196,0.901961,0.933333
1392,1,1,1
1393,0.156863,0.152941,0.219608
1394,0.156863,0.152941,0.211765
1395,0.145098,0.137255,0.192157
1396,0.137255,0.129412,0.184314
1397,0.137255,0.129412,0.184314
1398,0.12549,0.117647,0.172549
1399,0.12549,0.117647,0.172549
1400,0.12549,0.117647,0.172549
1401,0.121569,0.113725,0.168627
1402,0.105882,0.0980392,0.152941
1403,0.0862745,0.0784314,0.133333
1404,0.0862745,0.0784314,0.129412
1405,0.0901961,0.0823529,0.12549
1406,0.0941176,0.0901961,0.121569
1407,0.0941176,0.0901961,0.113725
1408,0.807843,0.803922,0.827451
1409,0.8,0.796078,0.819608
1410,0.101961,0.0980392,0.121569
1411,0.113725,0.109804,0.164706
1412,0.105882,0.101961,0.156863
1413,0.101961,0.0980392,0.152941
1414,0.0980392,0.0941176,0.14902
1415,0.0823529,0.0745098,0.129412
1416,0.0901961,0.0823529,0.137255
1417,0.0980392,0.0901961,0.145098
1418,0.129412,0.121569,0.176471
1419,0.14902,0.145098,0.2
1420,0.117647,0.113725,0.168627
1421,0.0941176,0.0901961,0.145098
1422,0.0901961,0.0862745,0.141176
1423,0.0862745,0.0784314,0.129412
1424,0.0862745,0.0784314,0.129412
1425,0.0901961,0.0823529,0.133333
1426,0.121569,0.113725,0.164706
1427,0.952941,0.956863,0.968627
1428,0.929412,0.929412,0.941176
1429,0.172549,0.168627,0.227451
1430,0.145098,0.137255,0.192157
1431,0.137255,0.129412,0.184314
1432,0.137255,0.129412,0.184314
1433,0.12549,0.117647,0.172549
1434,0.121569,0.113725,0.168627
1435,0.121569,0.113725,0.168627
1436,0.117647,0.109804,0.164706
1437,0.121569,0.113725,0.168627
1438,0.12549,0.117647,0.172549
1439,0.14902,0.141176,0.196078
1440,0.145098,0.137255,0.180392
1441,0.117647,0.113725,0.145098
1442,0.105882,0.101961,0.12549
1443,0.811765,0.807843,0.831373
1444,0.815686,0.811765,0.835294
1445,0.105882,0.101961,0.12549
1446,0.105882,0.101961,0.156863
1447,0.105882,0.101961,0.156863
1448,0.113725,0.109804,0.164706
1449,0.0941176,0.0901961,0.145098
1450,0.0862745,0.0784314,0.133333
1451,0.0862745,0.0784314,0.133333
1452,0.0941176,0.0862745,0.141176
1453,0.101961,0.0941176,0.14902
1454,0.121569,0.117647,0.172549
1455,0.152941,0.14902,0.203922
1456,0.12549,0.121569,0.176471
1457,0.101961,0.0980392,0.152941
1458,0.0862745,0.0784314,0.129412
1459,0.0862745,0.0784314,0.129412
1460,0.0823529,0.0745098,0.12549
1461,0.129412,0.121569,0.172549
1462,0.996078,0.996078,0.996078
1463,1,1,1
1464,0.231373,0.223529,0.305882
1465,0.145098,0.133333,0.2
1466,0.141176,0.133333,0.192157
1467,0.141176,0.133333,0.184314
1468,0.129412,0.121569,0.164706
1469,0.12549,0.117647,0.172549
1470,0.117647,0.109804,0.164706
1471,0.113725,0.105882,0.160784
1472,0.113725,0.105882,0.160784
1473,0.12549,0.117647,0.160784
1474,0.12549,0.117647,0.160784
1475,0.109804,0.101961,0.145098
1476,0.0862745,0.0784314,0.121569
1477,0.117647,0.0980392,0.176471
1478,0.760784,0.729412,0.698039
1479,0.752941,0.721569,0.690196
1480,0.109804,0.0823529,0.164706
1481,0.101961,0.0941176,0.14902
1482,0.101961,0.0941176,0.14902
1483,0.105882,0.0980392,0.152941
1484,0.101961,0.0941176,0.14902
1485,0.0980392,0.0941176,0.12549
1486,0.0901961,0.0862745,0.121569
1487,0.0862745,0.0784314,0.12549
1488,0.0862745,0.0784314,0.133333
1489,0.0941176,0.0862745,0.141176
1490,0.141176,0.133333,0.188235
1491,0.160784,0.152941,0.207843
1492,0.117647,0.109804,0.164706
1493,0.0862745,0.0784314,0.129412
1494,0.0823529,0.0745098,0.12549
1495,0.0941176,0.0862745,0.137255
1496,0.129412,0.121569,0.172549
1497,1,1,1
1498,0.658824,0.654902,0.701961
1499,0.145098,0.133333,0.2
1500,0.129412,0.117647,0.180392
1501,0.129412,0.121569,0.172549
1502,0.12549,0.117647,0.160784
1503,0.12549,0.117647,0.172549
1504,0.121569,0.113725,0.168627
1505,0.109804,0.101961,0.156863
1506,0.109804,0.101961,0.156863
1507,0.101961,0.0941176,0.137255
1508,0.101961,0.0941176,0.137255
1509,0.0941176,0.0862745,0.129412
1510,0.0745098,0.0666667,0.109804
1511,0.0862745,0.0784314,0.117647
1512,0.447059,0.313726,0.305882
1513,0.454902,0.321569,0.313726
1514,0.109804,0.101961,0.14902
1515,0.12549,0.117647,0.172549
1516,0.12549,0.117647,0.172549
1517,0.109804,0.101961,0.156863
1518,0.101961,0.0941176,0.14902
1519,0.101961,0.0980392,0.133333
1520,0.0980392,0.0901961,0.137255
1521,0.0862745,0.0784314,0.133333
1522,0.0862745,0.0784314,0.133333
1523,0.0901961,0.0823529,0.137255
1524,0.101961,0.0941176,0.14902
1525,0.141176,0.133333,0.188235
1526,0.14902,0.141176,0.196078
1527,0.0784314,0.0705882,0.121569
1528,0.0901961,0.0823529,0.133333
1529,0.0941176,0.0862745,0.137255
1530,0.12549,0.117647,0.168627
1531,1,1,1
1532,1,1,1
1533,0.121569,0.109804,0.176471
1534,0.0941176,0.0862745,0.145098
1535,0.0862745,0.0784314,0.129412
1536,0.0941176,0.0862745,0.129412
1537,0.0941176,0.0862745,0.129412
1538,0.0980392,0.0901961,0.133333
1539,0.0941176,0.0862745,0.129412
1540,0.0941176,0.0862745,0.129412
1541,0.0941176,0.0862745,0.129412
1542,0.0901961,0.0823529,0.12549
1543,0.0901961,0.0823529,0.12549
1544,0.105882,0.0980392,0.141176
1545,0.0941176,0.0941176,0.109804
1546,0.533333,0.360784,0.372549
1547,0.564706,0.392157,0.403922
1548,0.0941176,0.0941176,0.109804
1549,0.105882,0.0980392,0.152941
1550,0.133333,0.12549,0.180392
1551,0.129412,0.121569,0.176471
1552,0.129412,0.121569,0.176471
1553,0.121569,0.113725,0.160784
1554,0.121569,0.113725,0.164706
1555,0.105882,0.0980392,0.156863
1556,0.0941176,0.0823529,0.152941
1557,0.0823529,0.0745098,0.129412
1558,0.0862745,0.0784314,0.133333
1559,0.101961,0.0941176,0.14902
1560,0.145098,0.137255,0.192157
1561,0.0705882,0.0627451,0.113725
1562,0.0980392,0.0901961,0.141176
1563,0.0941176,0.0862745,0.137255
1564,0.137255,0.129412,0.180392
1565,1,1,1
1566,1,1,1
1567,0.568627,0.556863,0.623529
1568,0.160784,0.152941,0.211765
1569,0.121569,0.113725,0.164706
1570,0.0862745,0.0784314,0.121569
1571,0.0823529,0.0784314,0.109804
1572,0.0823529,0.0784314,0.109804
1573,0.0823529,0.0784314,0.109804
1574,0.0823529,0.0784314,0.109804
1575,0.0784314,0.0705882,0.113725
1576,0.0862745,0.0784314,0.121569
1577,0.0862745,0.0784314,0.121569
1578,0.0862745,0.0784314,0.121569
1579,0.0980392,0.0862745,0.117647
1580,0.431373,0.360784,0.364706
1581,0.392157,0.321569,0.32549
1582,0.0862745,0.0745098,0.101961
1583,0.0666667,0.0588235,0.113725
1584,0.0823529,0.0745098,0.129412
1585,0.101961,0.0941176,0.14902
1586,0.117647,0.109804,0.164706
1587,0.121569,0.113725,0.168627
1588,0.121569,0.113725,0.172549
1589,0.137255,0.12549,0.196078
1590,0.137255,0.12549,0.203922
1591,0.105882,0.0980392,0.152941
1592,0.0980392,0.0901961,0.145098
1593,0.101961,0.0941176,0.14902
1594,0.113725,0.105882,0.160784
1595,0.0941176,0.0862745,0.137255
1596,0.0745098,0.0666667,0.117647
1597,0.0980392,0.0901961,0.141176
1598,0.905882,0.905882,0.913725
1599,1,1,1
1600,0.596078,0.576471,0.654902
1601,0.490196,0.47451,0.529412
1602,0.490196,0.478431,0.509804
1603,0.486275,0.478431,0.490196
